@relation musicout

@attribute BHSUM3 numeric
@attribute amazed-suprised {0,1}
@attribute happy-pleased {0,1}
@attribute relaxing-calm {0,1}
@attribute quiet-still {0,1}
@attribute sad-lonely {0,1}
@attribute angry-aggresive {0,1}
@attribute a {0,1}
@attribute b {0,1}
@attribute c {0,1}
@attribute d {0,1}
@attribute e {0,1}
@attribute f {0,1}
@attribute g {0,1}
@attribute h {0,1}
@attribute i {0,1}


@data
31015,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1
31016,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0
31017,1,1,1,1,0,0,1,0,0,1,0,1,0,0,1
31018,1,1,1,1,0,0,1,0,0,1,0,1,0,1,0
31019,1,1,1,1,0,0,1,0,0,1,0,1,0,1,1
31020,1,1,1,1,0,0,1,0,0,1,0,1,1,0,0
31021,1,1,1,1,0,0,1,0,0,1,0,1,1,0,1
31022,1,1,1,1,0,0,1,0,0,1,0,1,1,1,0
31023,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1
31024,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0
31025,1,1,1,1,0,0,1,0,0,1,1,0,0,0,1
31026,1,1,1,1,0,0,1,0,0,1,1,0,0,1,0
31027,1,1,1,1,0,0,1,0,0,1,1,0,0,1,1
31028,1,1,1,1,0,0,1,0,0,1,1,0,1,0,0
31029,1,1,1,1,0,0,1,0,0,1,1,0,1,0,1
31030,1,1,1,1,0,0,1,0,0,1,1,0,1,1,0
31031,1,1,1,1,0,0,1,0,0,1,1,0,1,1,1
31032,1,1,1,1,0,0,1,0,0,1,1,1,0,0,0
31033,1,1,1,1,0,0,1,0,0,1,1,1,0,0,1
31034,1,1,1,1,0,0,1,0,0,1,1,1,0,1,0
31035,1,1,1,1,0,0,1,0,0,1,1,1,0,1,1
31036,1,1,1,1,0,0,1,0,0,1,1,1,1,0,0
31037,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1
31038,1,1,1,1,0,0,1,0,0,1,1,1,1,1,0
31039,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1
31040,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0
31041,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1
31042,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0
31043,1,1,1,1,0,0,1,0,1,0,0,0,0,1,1
31044,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0
31045,1,1,1,1,0,0,1,0,1,0,0,0,1,0,1
31046,1,1,1,1,0,0,1,0,1,0,0,0,1,1,0
31047,1,1,1,1,0,0,1,0,1,0,0,0,1,1,1
31048,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0
31049,1,1,1,1,0,0,1,0,1,0,0,1,0,0,1
31050,1,1,1,1,0,0,1,0,1,0,0,1,0,1,0
31051,1,1,1,1,0,0,1,0,1,0,0,1,0,1,1
31052,1,1,1,1,0,0,1,0,1,0,0,1,1,0,0
31053,1,1,1,1,0,0,1,0,1,0,0,1,1,0,1
31054,1,1,1,1,0,0,1,0,1,0,0,1,1,1,0
31055,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1
31056,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0
31057,1,1,1,1,0,0,1,0,1,0,1,0,0,0,1
31058,1,1,1,1,0,0,1,0,1,0,1,0,0,1,0
31059,1,1,1,1,0,0,1,0,1,0,1,0,0,1,1
31060,1,1,1,1,0,0,1,0,1,0,1,0,1,0,0
31061,1,1,1,1,0,0,1,0,1,0,1,0,1,0,1
31062,1,1,1,1,0,0,1,0,1,0,1,0,1,1,0
31063,1,1,1,1,0,0,1,0,1,0,1,0,1,1,1
31064,1,1,1,1,0,0,1,0,1,0,1,1,0,0,0
31065,1,1,1,1,0,0,1,0,1,0,1,1,0,0,1
31066,1,1,1,1,0,0,1,0,1,0,1,1,0,1,0
31067,1,1,1,1,0,0,1,0,1,0,1,1,0,1,1
31068,1,1,1,1,0,0,1,0,1,0,1,1,1,0,0
31069,1,1,1,1,0,0,1,0,1,0,1,1,1,0,1
31070,1,1,1,1,0,0,1,0,1,0,1,1,1,1,0
31071,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1
31072,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0
31073,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1
31074,1,1,1,1,0,0,1,0,1,1,0,0,0,1,0
31075,1,1,1,1,0,0,1,0,1,1,0,0,0,1,1
31076,1,1,1,1,0,0,1,0,1,1,0,0,1,0,0
31077,1,1,1,1,0,0,1,0,1,1,0,0,1,0,1
31078,1,1,1,1,0,0,1,0,1,1,0,0,1,1,0
31079,1,1,1,1,0,0,1,0,1,1,0,0,1,1,1
31080,1,1,1,1,0,0,1,0,1,1,0,1,0,0,0
31081,1,1,1,1,0,0,1,0,1,1,0,1,0,0,1
31082,1,1,1,1,0,0,1,0,1,1,0,1,0,1,0
31083,1,1,1,1,0,0,1,0,1,1,0,1,0,1,1
31084,1,1,1,1,0,0,1,0,1,1,0,1,1,0,0
31085,1,1,1,1,0,0,1,0,1,1,0,1,1,0,1
31086,1,1,1,1,0,0,1,0,1,1,0,1,1,1,0
31087,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1
31088,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0
31089,1,1,1,1,0,0,1,0,1,1,1,0,0,0,1
31090,1,1,1,1,0,0,1,0,1,1,1,0,0,1,0
31091,1,1,1,1,0,0,1,0,1,1,1,0,0,1,1
31092,1,1,1,1,0,0,1,0,1,1,1,0,1,0,0
31093,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1
31094,1,1,1,1,0,0,1,0,1,1,1,0,1,1,0
31095,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1
31096,1,1,1,1,0,0,1,0,1,1,1,1,0,0,0
31097,1,1,1,1,0,0,1,0,1,1,1,1,0,0,1
31098,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0
31099,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1
31100,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0
31101,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1
31102,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0
31103,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1
31104,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0
31105,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1
31106,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0
31107,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1
31108,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0
31109,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1
31110,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0
31111,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1
31112,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0
31113,1,1,1,1,0,0,1,1,0,0,0,1,0,0,1
31114,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0
31115,1,1,1,1,0,0,1,1,0,0,0,1,0,1,1
31116,1,1,1,1,0,0,1,1,0,0,0,1,1,0,0
31117,1,1,1,1,0,0,1,1,0,0,0,1,1,0,1
31118,1,1,1,1,0,0,1,1,0,0,0,1,1,1,0
31119,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1
31120,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0
31121,1,1,1,1,0,0,1,1,0,0,1,0,0,0,1
31122,1,1,1,1,0,0,1,1,0,0,1,0,0,1,0
31123,1,1,1,1,0,0,1,1,0,0,1,0,0,1,1
31124,1,1,1,1,0,0,1,1,0,0,1,0,1,0,0
31125,1,1,1,1,0,0,1,1,0,0,1,0,1,0,1
31126,1,1,1,1,0,0,1,1,0,0,1,0,1,1,0
31127,1,1,1,1,0,0,1,1,0,0,1,0,1,1,1
31128,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0
31129,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1
31130,1,1,1,1,0,0,1,1,0,0,1,1,0,1,0
31131,1,1,1,1,0,0,1,1,0,0,1,1,0,1,1
31132,1,1,1,1,0,0,1,1,0,0,1,1,1,0,0
31133,1,1,1,1,0,0,1,1,0,0,1,1,1,0,1
31134,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0
31135,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1
31136,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0
31137,1,1,1,1,0,0,1,1,0,1,0,0,0,0,1
31138,1,1,1,1,0,0,1,1,0,1,0,0,0,1,0
31139,1,1,1,1,0,0,1,1,0,1,0,0,0,1,1
31140,1,1,1,1,0,0,1,1,0,1,0,0,1,0,0
31141,1,1,1,1,0,0,1,1,0,1,0,0,1,0,1
31142,1,1,1,1,0,0,1,1,0,1,0,0,1,1,0
31143,1,1,1,1,0,0,1,1,0,1,0,0,1,1,1
31144,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0
31145,1,1,1,1,0,0,1,1,0,1,0,1,0,0,1
31146,1,1,1,1,0,0,1,1,0,1,0,1,0,1,0
31147,1,1,1,1,0,0,1,1,0,1,0,1,0,1,1
31148,1,1,1,1,0,0,1,1,0,1,0,1,1,0,0
31149,1,1,1,1,0,0,1,1,0,1,0,1,1,0,1
31150,1,1,1,1,0,0,1,1,0,1,0,1,1,1,0
31151,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1
31152,1,1,1,1,0,0,1,1,0,1,1,0,0,0,0
31153,1,1,1,1,0,0,1,1,0,1,1,0,0,0,1
31154,1,1,1,1,0,0,1,1,0,1,1,0,0,1,0
31155,1,1,1,1,0,0,1,1,0,1,1,0,0,1,1
31156,1,1,1,1,0,0,1,1,0,1,1,0,1,0,0
31157,1,1,1,1,0,0,1,1,0,1,1,0,1,0,1
31158,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0
31159,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1
31160,1,1,1,1,0,0,1,1,0,1,1,1,0,0,0
31161,1,1,1,1,0,0,1,1,0,1,1,1,0,0,1
31162,1,1,1,1,0,0,1,1,0,1,1,1,0,1,0
31163,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1
31164,1,1,1,1,0,0,1,1,0,1,1,1,1,0,0
31165,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1
31166,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0
31167,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1
31168,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0
31169,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1
31170,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0
31171,1,1,1,1,0,0,1,1,1,0,0,0,0,1,1
31172,1,1,1,1,0,0,1,1,1,0,0,0,1,0,0
31173,1,1,1,1,0,0,1,1,1,0,0,0,1,0,1
31174,1,1,1,1,0,0,1,1,1,0,0,0,1,1,0
31175,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1
31176,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0
31177,1,1,1,1,0,0,1,1,1,0,0,1,0,0,1
31178,1,1,1,1,0,0,1,1,1,0,0,1,0,1,0
31179,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1
31180,1,1,1,1,0,0,1,1,1,0,0,1,1,0,0
31181,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1
31182,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0
31183,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1
31184,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0
31185,1,1,1,1,0,0,1,1,1,0,1,0,0,0,1
31186,1,1,1,1,0,0,1,1,1,0,1,0,0,1,0
31187,1,1,1,1,0,0,1,1,1,0,1,0,0,1,1
31188,1,1,1,1,0,0,1,1,1,0,1,0,1,0,0
31189,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1
31190,1,1,1,1,0,0,1,1,1,0,1,0,1,1,0
31191,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1
31192,1,1,1,1,0,0,1,1,1,0,1,1,0,0,0
31193,1,1,1,1,0,0,1,1,1,0,1,1,0,0,1
31194,1,1,1,1,0,0,1,1,1,0,1,1,0,1,0
31195,1,1,1,1,0,0,1,1,1,0,1,1,0,1,1
31196,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0
31197,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1
31198,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0
31199,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1
31200,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0
31201,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1
31202,1,1,1,1,0,0,1,1,1,1,0,0,0,1,0
31203,1,1,1,1,0,0,1,1,1,1,0,0,0,1,1
31204,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0
31205,1,1,1,1,0,0,1,1,1,1,0,0,1,0,1
31206,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0
31207,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
31208,1,1,1,1,0,0,1,1,1,1,0,1,0,0,0
31209,1,1,1,1,0,0,1,1,1,1,0,1,0,0,1
31210,1,1,1,1,0,0,1,1,1,1,0,1,0,1,0
31211,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1
31212,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0
31213,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1
31214,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0
31215,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1
31216,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0
31217,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1
31218,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0
31219,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1
31220,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0
31221,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1
31222,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0
31223,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1
31224,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0
31225,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1
31226,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0
31227,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1
31228,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0
31229,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1
31230,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0
31231,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
31232,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
31233,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1
31234,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0
31235,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1
31236,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0
31237,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1
31238,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0
31239,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1
31240,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0
31241,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1
31242,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0
31243,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1
31244,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0
31245,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1
31246,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0
31247,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1
31248,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0
31249,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1
31250,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0
31251,1,1,1,1,0,1,0,0,0,0,1,0,0,1,1
31252,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0
31253,1,1,1,1,0,1,0,0,0,0,1,0,1,0,1
31254,1,1,1,1,0,1,0,0,0,0,1,0,1,1,0
31255,1,1,1,1,0,1,0,0,0,0,1,0,1,1,1
31256,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0
31257,1,1,1,1,0,1,0,0,0,0,1,1,0,0,1
31258,1,1,1,1,0,1,0,0,0,0,1,1,0,1,0
31259,1,1,1,1,0,1,0,0,0,0,1,1,0,1,1
31260,1,1,1,1,0,1,0,0,0,0,1,1,1,0,0
31261,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1
31262,1,1,1,1,0,1,0,0,0,0,1,1,1,1,0
31263,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1
31264,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0
31265,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1
31266,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0
31267,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1
31268,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0
31269,1,1,1,1,0,1,0,0,0,1,0,0,1,0,1
31270,1,1,1,1,0,1,0,0,0,1,0,0,1,1,0
31271,1,1,1,1,0,1,0,0,0,1,0,0,1,1,1
31272,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0
31273,1,1,1,1,0,1,0,0,0,1,0,1,0,0,1
31274,1,1,1,1,0,1,0,0,0,1,0,1,0,1,0
31275,1,1,1,1,0,1,0,0,0,1,0,1,0,1,1
31276,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0
31277,1,1,1,1,0,1,0,0,0,1,0,1,1,0,1
31278,1,1,1,1,0,1,0,0,0,1,0,1,1,1,0
31279,1,1,1,1,0,1,0,0,0,1,0,1,1,1,1
31280,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0
31281,1,1,1,1,0,1,0,0,0,1,1,0,0,0,1
31282,1,1,1,1,0,1,0,0,0,1,1,0,0,1,0
31283,1,1,1,1,0,1,0,0,0,1,1,0,0,1,1
31284,1,1,1,1,0,1,0,0,0,1,1,0,1,0,0
31285,1,1,1,1,0,1,0,0,0,1,1,0,1,0,1
31286,1,1,1,1,0,1,0,0,0,1,1,0,1,1,0
31287,1,1,1,1,0,1,0,0,0,1,1,0,1,1,1
31288,1,1,1,1,0,1,0,0,0,1,1,1,0,0,0
31289,1,1,1,1,0,1,0,0,0,1,1,1,0,0,1
31290,1,1,1,1,0,1,0,0,0,1,1,1,0,1,0
31291,1,1,1,1,0,1,0,0,0,1,1,1,0,1,1
31292,1,1,1,1,0,1,0,0,0,1,1,1,1,0,0
31293,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1
31294,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0
31295,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1
31296,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0
31297,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1
31298,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0
31299,1,1,1,1,0,1,0,0,1,0,0,0,0,1,1
31300,1,1,1,1,0,1,0,0,1,0,0,0,1,0,0
31301,1,1,1,1,0,1,0,0,1,0,0,0,1,0,1
31302,1,1,1,1,0,1,0,0,1,0,0,0,1,1,0
31303,1,1,1,1,0,1,0,0,1,0,0,0,1,1,1
31304,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0
31305,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1
31306,1,1,1,1,0,1,0,0,1,0,0,1,0,1,0
31307,1,1,1,1,0,1,0,0,1,0,0,1,0,1,1
31308,1,1,1,1,0,1,0,0,1,0,0,1,1,0,0
31309,1,1,1,1,0,1,0,0,1,0,0,1,1,0,1
31310,1,1,1,1,0,1,0,0,1,0,0,1,1,1,0
31311,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1
31312,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0
31313,1,1,1,1,0,1,0,0,1,0,1,0,0,0,1
31314,1,1,1,1,0,1,0,0,1,0,1,0,0,1,0
31315,1,1,1,1,0,1,0,0,1,0,1,0,0,1,1
31316,1,1,1,1,0,1,0,0,1,0,1,0,1,0,0
31317,1,1,1,1,0,1,0,0,1,0,1,0,1,0,1
31318,1,1,1,1,0,1,0,0,1,0,1,0,1,1,0
31319,1,1,1,1,0,1,0,0,1,0,1,0,1,1,1
31320,1,1,1,1,0,1,0,0,1,0,1,1,0,0,0
31321,1,1,1,1,0,1,0,0,1,0,1,1,0,0,1
31322,1,1,1,1,0,1,0,0,1,0,1,1,0,1,0
31323,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1
31324,1,1,1,1,0,1,0,0,1,0,1,1,1,0,0
31325,1,1,1,1,0,1,0,0,1,0,1,1,1,0,1
31326,1,1,1,1,0,1,0,0,1,0,1,1,1,1,0
31327,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1
31328,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0
31329,1,1,1,1,0,1,0,0,1,1,0,0,0,0,1
31330,1,1,1,1,0,1,0,0,1,1,0,0,0,1,0
31331,1,1,1,1,0,1,0,0,1,1,0,0,0,1,1
31332,1,1,1,1,0,1,0,0,1,1,0,0,1,0,0
31333,1,1,1,1,0,1,0,0,1,1,0,0,1,0,1
31334,1,1,1,1,0,1,0,0,1,1,0,0,1,1,0
31335,1,1,1,1,0,1,0,0,1,1,0,0,1,1,1
31336,1,1,1,1,0,1,0,0,1,1,0,1,0,0,0
31337,1,1,1,1,0,1,0,0,1,1,0,1,0,0,1
31338,1,1,1,1,0,1,0,0,1,1,0,1,0,1,0
31339,1,1,1,1,0,1,0,0,1,1,0,1,0,1,1
31340,1,1,1,1,0,1,0,0,1,1,0,1,1,0,0
31341,1,1,1,1,0,1,0,0,1,1,0,1,1,0,1
31342,1,1,1,1,0,1,0,0,1,1,0,1,1,1,0
31343,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1
31344,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0
31345,1,1,1,1,0,1,0,0,1,1,1,0,0,0,1
31346,1,1,1,1,0,1,0,0,1,1,1,0,0,1,0
31347,1,1,1,1,0,1,0,0,1,1,1,0,0,1,1
31348,1,1,1,1,0,1,0,0,1,1,1,0,1,0,0
31349,1,1,1,1,0,1,0,0,1,1,1,0,1,0,1
31350,1,1,1,1,0,1,0,0,1,1,1,0,1,1,0
31351,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1
31352,1,1,1,1,0,1,0,0,1,1,1,1,0,0,0
31353,1,1,1,1,0,1,0,0,1,1,1,1,0,0,1
31354,1,1,1,1,0,1,0,0,1,1,1,1,0,1,0
31355,1,1,1,1,0,1,0,0,1,1,1,1,0,1,1
31356,1,1,1,1,0,1,0,0,1,1,1,1,1,0,0
31357,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1
31358,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0
31359,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1
31360,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0
31361,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1
31362,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0
31363,1,1,1,1,0,1,0,1,0,0,0,0,0,1,1
31364,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0
31365,1,1,1,1,0,1,0,1,0,0,0,0,1,0,1
31366,1,1,1,1,0,1,0,1,0,0,0,0,1,1,0
31367,1,1,1,1,0,1,0,1,0,0,0,0,1,1,1
31368,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0
31369,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1
31370,1,1,1,1,0,1,0,1,0,0,0,1,0,1,0
31371,1,1,1,1,0,1,0,1,0,0,0,1,0,1,1
31372,1,1,1,1,0,1,0,1,0,0,0,1,1,0,0
31373,1,1,1,1,0,1,0,1,0,0,0,1,1,0,1
31374,1,1,1,1,0,1,0,1,0,0,0,1,1,1,0
31375,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1
31376,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0
31377,1,1,1,1,0,1,0,1,0,0,1,0,0,0,1
31378,1,1,1,1,0,1,0,1,0,0,1,0,0,1,0
31379,1,1,1,1,0,1,0,1,0,0,1,0,0,1,1
31380,1,1,1,1,0,1,0,1,0,0,1,0,1,0,0
31381,1,1,1,1,0,1,0,1,0,0,1,0,1,0,1
31382,1,1,1,1,0,1,0,1,0,0,1,0,1,1,0
31383,1,1,1,1,0,1,0,1,0,0,1,0,1,1,1
31384,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0
31385,1,1,1,1,0,1,0,1,0,0,1,1,0,0,1
31386,1,1,1,1,0,1,0,1,0,0,1,1,0,1,0
31387,1,1,1,1,0,1,0,1,0,0,1,1,0,1,1
31388,1,1,1,1,0,1,0,1,0,0,1,1,1,0,0
31389,1,1,1,1,0,1,0,1,0,0,1,1,1,0,1
31390,1,1,1,1,0,1,0,1,0,0,1,1,1,1,0
31391,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1
31392,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0
31393,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1
31394,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0
31395,1,1,1,1,0,1,0,1,0,1,0,0,0,1,1
31396,1,1,1,1,0,1,0,1,0,1,0,0,1,0,0
31397,1,1,1,1,0,1,0,1,0,1,0,0,1,0,1
31398,1,1,1,1,0,1,0,1,0,1,0,0,1,1,0
31399,1,1,1,1,0,1,0,1,0,1,0,0,1,1,1
31400,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0
31401,1,1,1,1,0,1,0,1,0,1,0,1,0,0,1
31402,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
31403,1,1,1,1,0,1,0,1,0,1,0,1,0,1,1
31404,1,1,1,1,0,1,0,1,0,1,0,1,1,0,0
31405,1,1,1,1,0,1,0,1,0,1,0,1,1,0,1
31406,1,1,1,1,0,1,0,1,0,1,0,1,1,1,0
31407,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1
31408,1,1,1,1,0,1,0,1,0,1,1,0,0,0,0
31409,1,1,1,1,0,1,0,1,0,1,1,0,0,0,1
31410,1,1,1,1,0,1,0,1,0,1,1,0,0,1,0
31411,1,1,1,1,0,1,0,1,0,1,1,0,0,1,1
31412,1,1,1,1,0,1,0,1,0,1,1,0,1,0,0
31413,1,1,1,1,0,1,0,1,0,1,1,0,1,0,1
31414,1,1,1,1,0,1,0,1,0,1,1,0,1,1,0
31415,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1
31416,1,1,1,1,0,1,0,1,0,1,1,1,0,0,0
31417,1,1,1,1,0,1,0,1,0,1,1,1,0,0,1
31418,1,1,1,1,0,1,0,1,0,1,1,1,0,1,0
31419,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1
31420,1,1,1,1,0,1,0,1,0,1,1,1,1,0,0
31421,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1
31422,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0
31423,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1
31424,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0
31425,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1
31426,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0
31427,1,1,1,1,0,1,0,1,1,0,0,0,0,1,1
31428,1,1,1,1,0,1,0,1,1,0,0,0,1,0,0
31429,1,1,1,1,0,1,0,1,1,0,0,0,1,0,1
31430,1,1,1,1,0,1,0,1,1,0,0,0,1,1,0
31431,1,1,1,1,0,1,0,1,1,0,0,0,1,1,1
